track_name,artists,track_id,track_genre
"The Day, The Week, And The Weather",Firehouse,4EooiZ9UhkZGRUkCQLxlLS,rock
Dolby Sisters Saliva Brothers,Lizzy Mercier Descloux,29z2tiUyXAtwVKhF5mKuXi,rock
Who Could It Be,Luciano,5eipO4hi28MzLvFonuAmZF,rock
Astillas,La 25,5DBwKVxSqtfKI3gHZwl3u4,rock
New Day,Eddie Turner,2xf8wxKO9kxCXgBD7wtxC0,rock
Deeeep Dog,Vortex,0GqVyfgoIvswdSDL3zU5Nv,rock
Spiritual - Radio Session,The Primevals,0cLRoN9gEzrqW2Z71IDcHC,rock
Stem the Future,Miss Lucid,0fWj4ubRf2ZMqziFMYVTJi,rock
corvus,A Signal In The Static,4EC1F34gSuGirQSIs9dasV,rock
Find A Way To Get Rid of You,Woodleg Odd,7gezWgTOTjE6bwyjwafgNM,rock
"כמו רוח - סקיצה ראשונה, ספטמבר 2005",Noam Rotem,5IyRmWZ2fbVVfS4o87GEEo,rock
Choking the Life Out,Evil Empire,6LuVOt1Nc4p0EJCsUujGSL,rock
Heartless Night,The Forester Sisters,3YztCqV7c6lukmC2m9niWt,rock
Californication,Red Hot Chili Peppers,73dgBi3bHzQ1xU2rDOUNXf,rock
Hallowed,Jennifer Knapp,2EvC92tWywmQUt9imWFtXV,rock
เธอมีจริง,Pang Nakarin,3dx1wolomd3eoNQtOTIVqi,rock
You See Me Crying,Aerosmith,0jLjMDYh3nAlzuLk3ylmNM,rock
Till The Season Comes 'Round Again,Ronnie Milsap,5zTrSIa0O4JaHGXUdE0jAC,rock
GOLD,Age Factory,5twzU6e2PHagQl6N90t3po,rock
Cindy,War Industries Inc.,2UMTwlu7kDTIdkDlyKgV4t,rock
Miedo,Santa Sabina,1Pl6yx3vXOJepb2GOhFky9,rock
Greek Tragedy - Oliver Nelson Remix,The Wombats,74Ga8eso4MRyf69kbtM7SU,rock
Láska Z Pasáží,Turbo,2NXXpEQxHKrFmbbPRKkQPx,rock
Smeerkeis,CPEX,5J5BbdUfgkTKaHdIENUjqV,rock
"Lies - “Pressure Points” Live At Hammersmith Odeon, London, UK / 1984",Camel,13XoJ4hN6FVR0JuPmm0nhx,rock
She's So Mean - Radio Edit,Matchbox Twenty,1kPM4mKnwN62LLW1bsgMxd,rock
My Vow,Don Campbell,2DFGA0KLnqu0tHUzoHda3v,rock
Declaration - Threads Album Version,Geoff Moore & The Distance,3NskHOGHH7RryJ77sDtmbn,rock
